name,bundleId
Instagram_277.1_Rocket_3.8.6_@thisismanpreets_apptesters.org,com.burbn.instagram
Instagram_277.1_Rocket_3.8.6_Plus_v2.50_@thisismanpreets_apptesters.org,com.burbn.instagram
Spotify_8.8.26_Spotilife_1.8_@thisismanpreets_apptesters.org,com.spotify.client
Instagram,com.burbn.instagram
Spotify,com.spotify.client
Facebook,com.facebook.Facebook
YouTubeMusic,com.google.ios.youtubemusic
Twitter,com.atebits.Tweetie2
perfectiptvn-26@._@thisismanpreets_apptesters.org,com.courtois.PerfectIPTVn
picturets,cn.danatech.xingseus
tvcast-36@._@thisismanpreets_apptesters.org,de.2kit.cast-browser
Acrobat,com.adobe.Adobe-Reader
BallsnRopes,com.atreus.ballsnropes
Beatstar,com.spaceapegames.beatstar
BillionAir,com.rogueharbour.billionair.airport
BloonsTD6,com.ninjakiwi.bloonstd6
BrickOut,com.puzzle1studio.ap.brickoutshoottheball
Castle,com.awesomepiece.castle
D4DJ,net.gamon.djTW
Downwell,com.devolver.downwell
EveryHero,com.feelinggame.projectaction
FamilyIsland,com.MelsoftGames.FamilyIsland
GameOfLife2,com.marmalade.gol2
GearClicker,com.kb.gearclicker
HeroWars,com.nexters.titanhunters
Hoosegow,com.ddreamgames.hoosegow
Lapse,com.cornagostefano.lapse
Mellow,com.mondayoff.mellow
MergeDragons,com.gramgames.mergedragons
MergeMiners,com.tcg.fpsdungeonminer
Mine.Slash,com.mining.fever
PictureCross,com.appynation.wbpc
RaftOnline,ocean.nomad.online.survival.simulator
RagdollDismounting,com.vicenter.stickman.ragdoll.dismounting
Roblox,com.roblox.robloxmobile
ShadowFight2,com.nekki.shadowfight
ShadowHunterLost,com.enigma.shadowhunter.paid
ShadowHunter,com.enigma.shadowhunter.free
SoundLab,com.castpeer.audioroom.ios
StickmanWars,com.multicastgames.craftsoldiersnew
Subsee,com.khuraskin.sub
Supercow,com.nevosoft.supercow
TurboProp,com.AXgamesoft.TurbopropFS
WeedInc,com.metamoki.weed
XPlane,com.laminarresearch.X-Plane10
DBLEGENDS,jp.co.bandainamcoent.BNEI0334
Gardenscapes,com.playrix.gardenscapes-m3-ios
LastDayOnEarthSurvival,zombie.survival.craft.z
MaxPayne,com.rockstargames.maxpayne
AltStore,com.rileytestut.AltStore.Beta
BazaartPremium,co.bazaart.app
CanaryPro,Mailroom.Canary-iOS.watchkitapp
EnhanceFox,com.risingcabbage.enhancefox
MyFitnessPalPremium,com.myfitnesspal.mfp
BeRealUnBlur,AlexisBarreyat.BeReal
BlackHole,com.shadow.blackhole1157.ios
Cowabunga,com.leemin.Cowabunga
DeviceMonitor2,org.fastdevsproject.altervista.Device-Monitor
Airbrush,com.magicv.AirBrush
Camera360,com.vstudio.camera360
FaceTune,com.lightricks.Facetune2
InShot,com.camerasideas.InstaShot
Meitu,com.meitu.mtxx
Photomath,com.microblink.PhotoMath
PicsArt,com.picsart.studio
WhatsAppBusiness,net.whatsapp.WhatsAppSMB
WhatsAppDuplicate,com.fouadraheb.watusi
WhatsAppOriginal,net.whatsapp.WhatsApp
PAC-MAN,com.namconetworks.pacmanlite
PetRescue,com.midasplayer.apps.petrescuesaga
Raid,com.plarium.raidlegends
SoulKnight,com.ChillyRoom.DungeonShooter
StickAllStarWarriors,com.stickmanwarriors.stickmandragon.stickfighter
SubwayMatch,com.sybogames.subwaysurfers.match
SunnyHouse,com.cookapps.interiors.home.design.merge.sunnyhouse
TaichiPanda,com.snailgamesusa.taiji
TappedOut,com.ea.simpsonssocial.bv2
Township,com.playrix.township-ios
ZGSurvival,com.flaregames.zombiegunship
CookingDiary,com.mytonallc.cookingdiary
ToonBlast,net.peakgames.toonblast
